EDA,5/8/2013,7:00 AM,City Hall,agendas/130508eda/agenda.pdf,--,
City Council,5/7/2013,6:30 PM,City Hall,agenda13.php?mtg=130507,agendas/130521/6b.pdf,http://www.youtube.com/watch?v=m-xci-qjkzo
Police,5/7/2013,6:00 PM,City Hall,--,--,
Public Works,5/7/2013,1:00 PM,City Hall,agendas/130507pw/agenda.pdf,--,
Trail Board,4/23/2013,7:00 PM,--,--,--,
City Council,4/16/2013,6:30 PM,City Hall,agenda13.php?mtg=130416,agendas/130507/7b.pdf,http://www.youtube.com/watch?v=VioZ3ENLsSM&feature=youtu.be
EDA,4/10/2013,7:00 AM,City Hall,--,--,
Planning Commission,4/8/2013,6:30 PM,City Hall,--,--,
Library Board,4/8/2013,6:00 PM,City Hall,agendas/130408/packet.pdf,--,
City Council,4/2/2013,6:30 PM,City Hall,agenda13.php?mtg=130402,agendas/130416/7b.pdf,http://www.youtube.com/watch?v=HLX-1CBfZGk&feature=youtu.be
Public Works,4/2/2013,1:00 PM,City Hall,--,--,
Trail Board,3/26/2013,7:00 PM,--,--,--,
City Council,3/19/2013,6:30 PM,City Hall,agenda13.php?mtg=130319,agendas/130402/6b.pdf,http://www.youtube.com/watch?v=2mL8QJ7YmmM&feature=youtu.be
Cable Commission,3/13/2013,5:30 PM,City Hall,--,--,
Planning Commission,3/11/2013,6:30 PM,City Hall,agendas/130311/agenda.pdf,--,http://www.youtube.com/watch?v=wPMbzMntFQM&feature=youtu.be
Library Board,3/11/2013,6:00 PM,City Hall,agendas/130311lib/packet.pdf,agendas/130408/minutes.pdf,
Council Worksession,3/6/2013,after Council,City Hall,agendas/130305ws/agenda.pdf,agendas/130319/7c.pdf,
City Council,3/6/2013,6:30 PM,City Hall,agenda13.php?mtg=130305,agendas/130319/7b.pdf,http://www.youtube.com/watch?v=Wov5ssPPfWY
EDA,3/6/2013,7:00 AM,City Hall,--,--,
Public Works,3/5/2013,1:00 PM,City Hall,--,--,
Trail Board,2/26/2013,7:00 PM,--,--,--,
City Council,2/19/2013,6:30 PM,City Hall,agenda13.php?mtg=130219,agendas/130305/6b.pdf,http://www.youtube.com/watch?v=use4BPJ874k&feature=youtu.be
EDA,2/13/2013,7:00 AM,City Hall,--,--,
Planning Commission,2/11/2013,6:30 PM,City Hall,--,--,http://www.youtube.com/watch?v=Ps1E3pS7Z3I&feature=youtu.be
Library Board,2/11/2013,6:00 PM,City Hall,--,--,
City Council,2/5/2013,6:30 PM,City Hall,agenda13.php?mtg=130205,agendas/130219/7b.pdf,http://www.youtube.com/watch?v=b0MU8YZiLbA&feature=youtu.be
Public Works,2/5/2013,1:00 PM,City Hall,agendas/130205pw/agenda.pdf,--,
Trail Board,1/22/2013,7:00 PM,--,--,--,
City Council,1/15/2013,6:30 PM,City Hall,agenda13.php?mtg=130115,agendas/130205/7d.pdf,http://www.youtube.com/watch?v=Jc9Zf6bPTh4&feature=youtu.be
Planning Commission,1/14/2013,6:30 PM,City Hall,agendas/130114/agenda.pdf,--,
Library Board,1/14/2013,6:00 PM,City Hall,agendas/130114lib/packet.pdf,--,
Cable Commission,1/9/2013,5:30 PM,City Hall,agendas/130109cable/agenda.pdf,--,
EDA,1/9/2013,7:00 AM,City Hall,--,--,
City Council,1/8/2013,6:30 PM,City Hall,agenda.php?mtg=130108,agendas/130205/7c.pdf,http://www.youtube.com/watch?v=2Ct7StyE0Po&feature=youtu.be
Public Works,1/8/2013,1:00 PM,City Hall,agendas/130108pw/agenda.pdf,--,
City Council,12/18/2012,6:30 PM,City Hall,agenda.php?mtg=121812,agendas/130108/7c.pdf,http://www.youtube.com/watch?v=gwcH0o-E2Kg
Cable Commission,12/12/2012,5:30 PM,City Hall,agendas/121212cable/agenda.pdf,--,
EDA,12/12/2012,7:00 AM,City Hall,agendas/121212eda/agenda.pdf,--,
Public Works,12/11/2012,2:00 PM,City Hall,agendas/121112/agenda.pdf,--,
Planning Commission,12/10/2012,6:30 PM,City Hall,--,--,
Library Board,12/10/2012,6:00 PM,City Hall,agendas/121012/agenda.pdf,--,
Police Commission,12/4/2012,after Council,City Hall,--,--,
